10-MAY-06
"Adverse Events Category","AE/Supra-ordinate Term","Select AE","MedDRA LLT (v90)/ CTEP Term","MedDRA Code(v90)/ CTEP Code"
"ALLERGY/IMMUNOLOGY","Allergic reaction/hypersensitivity (including drug fever)",,"Hypersensitivity","10020751"
"ALLERGY/IMMUNOLOGY","Allergic rhinitis (including sneezing, nasal stuffiness, postnasal drip)",,"Allergic rhinitis","10001723"
"ALLERGY/IMMUNOLOGY","Allergy/Immunology - Other (Specify, __)",,"Immune system disorder","10021425"
"ALLERGY/IMMUNOLOGY","Autoimmune reaction",,"Autoimmune disorder","10061664"
"ALLERGY/IMMUNOLOGY","Serum sickness",,"Serum sickness","10040400"
"ALLERGY/IMMUNOLOGY","Vasculitis",,"Vasculitis","10047115"
"AUDITORY/EAR","Auditory/Ear - Other (Specify, __)",,"Ear disorder","10014004"
"AUDITORY/EAR","Hearing: patients with/without baseline audiogram and enrolled in a monitoring program",,"Hearing test abnormal","10057540"
"AUDITORY/EAR","Hearing: patients without baseline audiogram and not enrolled in a monitoring program",,"Hearing loss","10019246"
"AUDITORY/EAR","Otitis, external ear (non-infectious)",,"External ear inflammation","10065837"
"AUDITORY/EAR","Otitis, middle ear (non-infectious)",,"Middle ear inflammation","10065838"
"AUDITORY/EAR","Tinnitus",,"Tinnitus","10043882"
"BLOOD/BONE MARROW","Blood/Bone Marrow - Other (Specify, __)",,"Blood disorder","10061590"
"BLOOD/BONE MARROW","Bone marrow cellularity",,"Bone marrow hypocellular","10048580"
"BLOOD/BONE MARROW","CD4 count",,"CD4 lymphocytes decreased","10007839"
"BLOOD/BONE MARROW","Haptoglobin",,"Haptoglobin decreased","10019150"
"BLOOD/BONE MARROW","Hemoglobin",,"Hemoglobin decreased","10019483"
"BLOOD/BONE MARROW","Hemolysis (e.g., immune hemolytic anemia, drug-related hemolysis)",,"Hemolysis","10019491"
"BLOOD/BONE MARROW","Iron overload",,"Iron increased","10022981"
"BLOOD/BONE MARROW","Leukocytes (total WBC)",,"Leukopenia","10024384"
"BLOOD/BONE MARROW","Lymphopenia",,"Lymphopenia","10025327"
"BLOOD/BONE MARROW","Myelodysplasia",,"Myelodysplasia","10028532"
"BLOOD/BONE MARROW","Neutrophils/granulocytes (ANC/AGC)",,"Neutrophil count decreased","10029366"
"BLOOD/BONE MARROW","Platelets",,"Platelet count decreased","10035528"
"BLOOD/BONE MARROW","Splenic function",,"Spleen disorder","10041633"
"CARDIAC ARRHYTHMIA","Cardiac Arrhythmia - Other (Specify, __)",,"Arrhythmia","10003119"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-First degree","Atrioventricular block first degree","10003674"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-Second degree Mobitz Type I (Wenckebach)","Mobitz type I","10027787"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-Second degree Mobitz Type II","Mobitz (type) II atrioventricular block","10027786"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-Third degree (Complete AV block)","Atrioventricular block complete","10003673"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Asystole","Asystole","10003586"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Conduction abnormality NOS","Conduction disorder","10010276"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Sick Sinus Syndrome","Sick sinus syndrome","10040639"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Stokes-Adams Syndrome","Stokes-Adams syndrome","10042074"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Wolff-Parkinson-White Syndrome","Wolff-Parkinson-White syndrome","10048015"
"CARDIAC ARRHYTHMIA","Palpitations",,"Palpitations","10033557"
"CARDIAC ARRHYTHMIA","Prolonged QTc interval",,"Electrocardiogram QTc interval prolonged","10053698"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Atrial fibrillation","Atrial fibrillation","10003658"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Atrial flutter","Atrial flutter","10003662"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Atrial tachycardia/Paroxysmal Atrial Tachycardia","Atrial tachycardia","10003668"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Nodal/Junctional","Nodal arrhythmia","10029458"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Sinus arrhythmia","Sinus arrhythmia","10040739"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Sinus bradycardia","Sinus bradycardia","10040741"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Sinus tachycardia","Sinus tachycardia","10040752"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Supraventricular arrhythmia NOS","Arrhythmia supraventricular","10003130"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Supraventricular extrasystoles (Premature Atrial Contractions; Premature Nodal/Junctional Contractions)","Supraventricular extrasystoles","10042602"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Supraventricular tachycardia","Supraventricular tachycardia","10042604"
"CARDIAC ARRHYTHMIA","Vasovagal episode",,"Syncope vasovagal","10042777"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Bigeminy","Ventricular bigeminy","10050779"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Idioventricular rhythm","Rhythm idioventricular","10039111"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","PVCs","Premature ventricular contractions","10036614"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Torsade de pointes","Torsade de pointes","10044066"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Trigeminy","Ventricular trigeminy","10050780"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular arrhythmia NOS","Ventricular arrhythmia","10047281"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular fibrillation","Ventricular fibrillation","10047290"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular flutter","Ventricular flutter","10047294"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular tachycardia","Ventricular tachycardia","10047302"
"CARDIAC GENERAL","Cardiac General - Other (Specify, __)",,"Cardiac disorder","10061024"
"CARDIAC GENERAL","Cardiac ischemia/infarction",,"Myocardial ischemia","10028601"
"CARDIAC GENERAL","Cardiac troponin I (cTnI)",,"Cardiac troponin I increased","10007612"
"CARDIAC GENERAL","Cardiac troponin T (cTnT)",,"Cardiac troponin T increased","10007613"
"CARDIAC GENERAL","Cardiopulmonary arrest, cause unknown (non-fatal)",,"Cardiopulmonary arrest","10007644"
"CARDIAC GENERAL","Hypertension",,"Hypertension","10020772"
"CARDIAC GENERAL","Hypotension",,"Hypotension","10021097"
"CARDIAC GENERAL","Left ventricular diastolic dysfunction",,"Diastolic dysfunction","10052337"
"CARDIAC GENERAL","Left ventricular systolic dysfunction",,"Left ventricular failure","10024119"
"CARDIAC GENERAL","Myocarditis",,"Myocarditis","10028606"
"CARDIAC GENERAL","Pericardial effusion (non-malignant)",,"Pericardial effusion","10034474"
"CARDIAC GENERAL","Pericarditis",,"Pericarditis","10034484"
"CARDIAC GENERAL","Pulmonary hypertension",,"Pulmonary hypertension","10037400"
"CARDIAC GENERAL","Restrictive cardiomyopathy",,"Restrictive cardiomyopathy","10038748"
