"Adverse Events Category","AE/Supra-ordinate Term","Select AE","Grade","Description"
"ALLERGY/IMMUNOLOGY","Allergic reaction/hypersensitivity (including drug fever)",,1,"Transient flushing or rash; drug fever <38 degrees C (<100.4 degrees F)"
"ALLERGY/IMMUNOLOGY","Allergic reaction/hypersensitivity (including drug fever)",,2,"Rash; flushing; urticaria; dyspnea; drug fever >=38 degrees C (>=100.4 degrees F)"
"ALLERGY/IMMUNOLOGY","Allergic reaction/hypersensitivity (including drug fever)",,3,"Symptomatic bronchospasm, with or without urticaria; parenteral medication(s) indicated; allergy-related edema/angioedema; hypotension"
"ALLERGY/IMMUNOLOGY","Allergic reaction/hypersensitivity (including drug fever)",,4,"Anaphylaxis"
"ALLERGY/IMMUNOLOGY","Allergic reaction/hypersensitivity (including drug fever)",,5,"Death"
"ALLERGY/IMMUNOLOGY","Allergic rhinitis (including sneezing, nasal stuffiness, postnasal drip)",,1,"Mild, intervention not indicated"
"ALLERGY/IMMUNOLOGY","Allergic rhinitis (including sneezing, nasal stuffiness, postnasal drip)",,2,"Moderate, intervention indicated"
"ALLERGY/IMMUNOLOGY","Allergy/Immunology - Other (Specify, __)",,1,"Mild"
"ALLERGY/IMMUNOLOGY","Allergy/Immunology - Other (Specify, __)",,2,"Moderate"
"ALLERGY/IMMUNOLOGY","Allergy/Immunology - Other (Specify, __)",,3,"Severe"
"ALLERGY/IMMUNOLOGY","Allergy/Immunology - Other (Specify, __)",,4,"Life-threatening; disabling"
"ALLERGY/IMMUNOLOGY","Allergy/Immunology - Other (Specify, __)",,5,"Death"
"ALLERGY/IMMUNOLOGY","Autoimmune reaction",,1,"Asymptomatic and serologic or other evidence of autoimmune reaction, with normal organ function and intervention not indicated"
"ALLERGY/IMMUNOLOGY","Autoimmune reaction",,2,"Evidence of autoimmune reaction involving a non-essential organ or function (e.g., hypothyroidism)"
"ALLERGY/IMMUNOLOGY","Autoimmune reaction",,3,"Reversible autoimmune reaction involving function of a major organ or other adverse event (e.g., transient colitis or anemia)"
"ALLERGY/IMMUNOLOGY","Autoimmune reaction",,4,"Autoimmune reaction with life-threatening consequences"
"ALLERGY/IMMUNOLOGY","Autoimmune reaction",,5,"Death"
"ALLERGY/IMMUNOLOGY","Serum sickness",,3,"Present"
"ALLERGY/IMMUNOLOGY","Serum sickness",,5,"Death"
"ALLERGY/IMMUNOLOGY","Vasculitis",,1,"Mild, intervention not indicated"
"ALLERGY/IMMUNOLOGY","Vasculitis",,2,"Symptomatic, non-steroidal medical intervention indicated"
"ALLERGY/IMMUNOLOGY","Vasculitis",,3,"Steroids indicated"
"ALLERGY/IMMUNOLOGY","Vasculitis",,4,"Ischemic changes; amputation indicated"
