29-DEC-09                                                                                                                         
NSC, Agent Name      
"749268","111In-CHX-A DTPA-cetuximab"
"750394","A6 Peptide"
"750238","ABT-263"
"750009","AMG 102"
"751173","AMG 386"
"750008","AMG 479"
"749777","AMG 655"
"750832","ARQ 197"
"749712","AT13387"
"751083","AZD8055 Fumarate"
"751175","Ad5f35CMVpp65 Adenoviral/EBV-specific Cord Blood-derived CTL"
"751850","Armodafinil (Nuvigil)"
"138783","Bendamustine hydrochloride"
"750143","Brivanib alaninate (BMS-582664)"
"744565","Brostallicin hydrochloride"
"749267","CHX-A DTPA-cetuximab"
"750268","CP 870,893"
"749776","Calcitriol"
"751449","Carbon-11 alpha-methyl-L-tryptophan (11C-AMT)"
"751177","Carvedilol phosphate (Coreg)"
"127439","Chitosan"
"751505","Chitosan glutamate (Protasan MLG 213)"
"751675","Choline Magnesium Trisalicylate (Trilisate)"
"749682","Copper-64 diacetyl-bis(N4-methylthiosemicarbazone) (64Cu-ATSM)"
"749305","DRA11"
"749306","DRA9"
"749307","DRA9S"
"751452","Dextromethorphan"
"174939","Elesclomol"
"749798","Endoxifen"
"749126","Fluorine-18 Sodium Fluoride (18F-NaF)"
"400639","Glutathione"
"749129","IMC-3G3"
"749571","Kit for Radionuclide Labeling"
"751787","LV (MGMTP140K) Vector-Transduced CD34+ Autologous PBSC"
"751176","Lisinopril (Prinivil)"
"750237","MK-0646"
"751084","MK-1775"
"749607","MK-2206"
"751448","MLN 1202"
"91485","Metformin hydrochloride"
"751451","Midazolam hydrochloride"
"751178","Modafinil (Provigil)"
"749428","NTX-010 (SVV-001; Seneca Valley Virus)"
"750183","Naproxen"
"751082","OSI-906"
"728209","OSU-3012"
"751450","Omeprazole"
"749005","PF-02341066"
"750424","PU-H71"
"749715","Phoenix-GALV (MGMTP140K) Retroviral Vector-Transduced CD34+ Autologous PBSC"
"751156","RO4858696 (R1507; huMAb IGF-1R)"
"749225","RO4929097"
"749128","Ramucirumab (IMC-1121B)"
"113926","Rifampin"
"751081","SCH 900105"
"750505","SCH 900776"
"749710","SGN-35"
"749304","Sterile HSA Formulation Buffer"
"749303","Sterile Sodium Acetate Buffer"
"750236","Tadalafil"
"749127","Technetium Tc 99m Medronate (99mTC-MDP)"
"23813","Tolbutamide"
"750267","VEGFR2: 775-783 Peptide"
"727107","pNGVL4a-CRT/E7 (detox)"
"749711","r-IGFBP7"
