23-FEB-07
"NSC","Agent Name"
"723227","(161-180)ESO-1 Peptide"
"726584","(H115D)VHL35 Peptide"
"726190","(R)-(-)-Gossypol acetic acid (Ascenta's AT-101)"
"722277","(S111I) VHL16 Peptide"
"721380","(V166A) VHL14 Peptide"
"709919","0.9% Sodium Chloride"
"132313","1,2:5,6-Dianhydrogalactitol"
"33419","1,3-Diamino-5-methylphenazinium chloride"
"5416","1,9-Nonanediol"
"1026","1-Aminocyclopentane"
"721782","1-Methyl-[D]-tryptophan"
"43405","1-Methylthioguanine  (1-me-TG)"
"613312","111 In-labeled MoAb to Tac"
"740377","111In-CHX-A DTPA-Trastuzumab"
"727254","117-126:FGF-5 Peptide"
"61716","11H-indeno[2,1-a]phenanthrene-9,10-dicarboxylic anhydride, (Searle 35)"
"728925","12 Melanoma Peptides from MDP and CTA (12MP)"
"733969","131I-chTNT-1/B MAb (Cotara)"
"93236","16-oxaestra-1,3,5 (10)-trien-17-one, 3-hydroxy"
"63294","17-.beta.-hydroxy-17-methyl-4-oxa-5-.alpha.-androstan-3-one"
"330507","17-AAG"
"707545","17-DMAG"
"9701","17-Methyltestosterone"
"79104","17.beta.-hydroxy-7-.alpha.-methyl-androsta-1,4-dien-3-one"
"39364","18-Norandrosta-4,13-dien-3-one, 17,17-dimethyl-"
"63012","19-nortestosterone, 17-ethynyl-10-hydroxy-"
"81408","2-.alpha.-methyldihydrotestosterone pyran-2-yl ether"
"4728","2-Amino-1,3,4-thiadiazole"
"18016","2-Chloroethyl methanesulfonate  (CB 1506)"
"30605","2-Fluoroadenosine"
"659853","2-Methoxy Estradiol"
"57432","2.alpha., 17-dimethyl-19-nortestosterone"
"19607","2.alpha.-Methyl-11-oxoprogesterone"
"726585","27-35(27L):MART-1 Peptide"
"140025","3'-deoxy-3'-fluorothymidine (alovudine; FLT)"
"126849","3-Deazauridine"
"17633","3-Thiomorpholinone, 2,2-dimethyl-5-ethyl-"
"56955","4,5.alpha.-dihydro-1.alpha., 5-epidithiotestololactone"
"181815","4-HC"
"39112","4-Methyltestosterone"
"321803","4-Nitroestrone, methyl ether"
"4928","4-Propylamino-1H-pyrazolo[3,4-d]pyrimidine"
"3063","4-deoxypyridoxine hydrochloride"
"23519","5-Diazouracil"
"48006","5-Fluoro-2'-deoxycytidine (FdCyd)"
"19893","5-Fluorouracil (5-FU)"
"107392","5-HP"
"19619","5.alpha.-Androst-1-en-3-one, 17.beta.-hydroxy-, propionate"
"19981","5.alpha.-Androst-1-ene-3, 11,17-trione"
"19986","5.alpha.-Androstane-11.beta.,17.beta.-diol"
"82484","5.alpha.-androst-2-en-2-carbonitrile, 17.beta.-hydroxy-, acetate"
"60795","5.alpha.-androstan-11.beta.-ol, 17.beta.-amino-"
"79390","5.alpha.-androstan-17-one, 3.alpha.-hydroxy-, compound with clofibrate"
"61689","5.alpha.-androstan-17.beta.-ol, 3.beta.-fluoro-"
"56290","5.alpha.-androstan-3-one, 17.beta.-hydroxy-4.alpha.-methyl-"
"55974","5.beta.-androstan-3-one, 17.beta.-hydroxy-17-methyl-"
"686673","506U78"
"734867","5T4-Modified Vaccinia Ankara Vaccine (TroVax)"
"42721","5a-Androstan-17.beta.-ol, propionate"
"733564","5´-O-Benzoyl-2,3´-anhydrothymidine"
"728926","6 MHP (6 Class II MHC-Restricted Melanoma-Associated Peptides"
"56940","6-(dibromomethylene) testosterone, propionate"
"21206","6-Aminonicotinamide (6-AN)"
"32074","6-Azauridine"
"320746","6-Azauridine"
"29422","6-Thioguanosine"
"50903","6-dehydrotestololactone"
"40774","6MMPR"
"59611","7.alpha.-hydroxytestololactone"
"749","8-Azaguanine"
"603071","9-Aminocamptothecin (9-AC)"
"14575","9-Ethyl-6-mercaptopurine"
"603070","9-Nitro-20 (S-)Camptothecin (9-NC)"
"659772","9-cis retinoic acid (Panretin)"
"51954","A 6413 (crystalline antibiotic M259)"
"71851","A-TGdR"
"50904","A-nortestosterone propionate"
"733606","ABT-472"
"742134","ABT-751"
"737664","ABT-888"
"246131","AD 32"
"706456","AE-941 (Aeterna Shark Cartilage Extract)"
"741729","AEG35156"
"710464","AFP464 (aminoflavone produg)"
"615295","AL-721"
"715616","ALVAC-CEA (6D)-B7.1"
"659643","ALVAC-CEA (vCP248)"
"674332","ALVAC-CEA-B7.1"
"674306","ALVAC-hB7.1"
"689514","ALVAC-hIL-12"
"742318","AMG 706"
"618654","AS101"
"735464","AZD0530"
"732208","AZD2171"
"741078","AZD6244"
"4","Absolute Ethanol"
"85228","Absolute Ethanol; Denatured"
"62512","Acetophenone, 2-dimethylamino-3',4'-dihydroxy-, hydrochloride"
"111180","Acetylcysteine (Mucomyst)"
"163501","Acivicin (AT-125)"
"208734","Aclarubicin (aclacinomycin A hydrochloride)"
"305884","Acodazole hydrochloride"
"403169","Acronine"
"53396","Actodigin"
"335752","Acyclovir"
"674304","Ad2/MART-1 vaccine"
"674305","Ad2/gp100 vaccine"
"729138","AdCCL-21"
"726022","AdCMVIkappaBalpha"
"683550","Adeno-p53 (Ad5CMV-p53); Advexin"
"635386","Adenosine deaminase gene-transduced autologous T-lymphocytes"
"715969","Alemtuzumab (Campath)"
"377523","Alfa 2 InterFERON 2b (Intron-A)"
"1390","Allopurinol"
"20812","Alpha-Tocopherol (Vitamin E)"
"48015","Alpha-norpregn-3 (5)-ene-2,20-dione"
"664400","Aluminum hydroxide"
"741821","Aluminum hydroxide/magnesium hydroxide/simethicone (Gelusil)"
"287513","Ametantrone acetate"
"203804","Amino-arginine"
"686288","Aminoflavone"
"330915","Aminoglutethimide (Cytadren)"
"739","Aminopterin"
"51095","Ammonium, trimethylpurin-6-yl-, chloride"
"308847","Amonafide"
"741424","Amphotericin B Lipid Complex (Abelcet)"
"616524","Ampligen"
"249992","Amsacrine"
"15780","Amygdalin"
"724577","Anagrelide hydrochloride (Agrylin)"
"719344","Anastrozole (Arimidex)"
"41842","Androst-4-en-3-one, 11.beta.,17.beta.-dihydroxy-4,17-dimethyl-"
"12203","Androst-4-en-3-one, 16.alpha.-17.beta.-dihydroxy-, dipropionate"
"63577","Androst-4-en-3-one, 17.beta.-hydroxy-7.alpha.-methyl-"
"41673","Androst-4-en-3-one, 17.beta.-hydroxy-7.alpha.-methyl-, propionate"
"12204","Androst-4-en-3-one, 2.alpha.,17.beta.-dihydroxy-, dipropionate"
"36092","Androst-4-en-3-one, 9-chloro-11.beta., 17.beta.-dihydroxy-17-methyl-"
"70801","Androst-5-en-17-one, 3.beta.-[2-(diethylamino)ethoxy]-, hydrochloride"
"59614","Androsta-1,4-dien-3-one, 11.beta.,17.beta.-dihydroxy-17-methyl-"
"37098","Androsta-4,9(11)-dien-3-one, 17.beta.-hydroxy-2.alpha., 17-dimethyl-"
"737186","Ang797"
"141537","Anguidine"
"18429","Aniline mustard"
"364832","Anti-Breast Carcinoma Monoclonal Antibody B6.2 (RADIOLABELED)"
